"Район";"Вид";"Сокращенное наименование";"Наименование";"Руководитель";"Адрес местонахождения";"Телефон";"Режим работы";"ИНН";"ОГРН";"Количество мест";"Электронный адрес";"Сайт";"Наличие филиала";"Наличие ЕМТС";"Факс";"Юридический адрес";"Источник данных";"Подведомственно";"Метро";"Прочее";"МО";
"Центральный";"Музей";"Музей театрального и музыкального искусства";"Государственное учреждение ""Санкт-Петербургский государственный музей театрального и музыкального искусства""";"Метелица Наталья Ивановна";"191011, г.Санкт-Петербург, улица Зодчего Росси, дом 2, литер А, (площадь Островского, дом 6, литер А)";"315-52-43, 310-10-29";"С 11 до 18 часов, в среду с 13 до 19 часов, вторник - выходной день, последняя пятница каждого месяца - санитарный день";"7825446889";"1047839007589";"";"info@theatremuseum.ru, theatremuseum@peterlink.ru";"www.allmuseums.spb.ru";"Основное, есть филиал";"";"314-77-46";"г.Санкт-Петербург, улица Зодчего Росси, дом 2, литер А";"ГИС СЦ";"Комитет по культуре Правитнльства Санкт-Петербурга";"Гостинный двор, Невский проспект";"";"муниципальный округ №78";
"Петродворцовый";"Музей";"Исторический музей восковых фигур";"Производственный кооператив ""Исторический музей восковых фигур""";"Гребенюк Евгений Николаевич";"189510, Санкт-Петербург, город Ломоносов, Александровская улица, дом 37, литер А";"422-99-21, 315-56-36";"Ежедневно с 11:00 до 18:30. Только экскурсионное обслуживание по предварительной договоренности.";"7819005100";"1027808918290";"";"";"www.museum.ru/M506";"Основное, есть филиал";"";"422-99-21";"189510, Санкт-Петербург, город Ломоносов, Александровская улица, дом 37, литер А";"";"Производственный кооператив ""Исторический музей восковых фигур""";"";"";"город Ломоносов";
"Петродворцовый";"Музей";"Краеведческий музей г.Ломоносова";"Санкт-Петербургское государственное учреждение ""Краеведческий музей г.Ломоносова""";"Кучук Юлия Валерьевна";"188512, Санкт-Петербург, город Ломоносов, Еленинская улица, дом 25/15, литер А";"422-39-47";"";"7819303988";"1067847222915";"";"M192@mail.museum.ru";"www.museum.ru/M192";"";"";"";"188512, Санкт-Петербург, город Ломоносов, Еленинская улица, дом 25";"";"Комитет по управлению городским имуществом Санкт-Петербурга";"";"";"город Ломоносов";
"Петродворцовый";"Музей";"Музей семьи Бенуа";"Музей семьи Бенуа. Государственный музей заповедник ""Петергоф""";"Кальницкая Елена Яковлевна";"Санкт-Петербург, город Петродворец, Дворцовая площадь, дом 8, литер А";"450-50-39";"Открыт: 10:30 - 18:00";"7819012731";"1027808916442";"";"";"http://www.peterhof.ru/?m=199&p=209";"Филиал";"";"";"198516, Россия, Санкт-Петербург, г. Петергоф, ул. Разводная, дом 2";"";"Государственный музей заповедник ""Петергоф""";"Ж/д станция ""Новый Петергоф""";"";"город Петродворец";
"Петродворцовый";"Музей";"Музей коллекционеров. Исторический музей восковых фигур.";"Музей коллекционеров. Исторический музей восковых фигур.";"Кальницкая Елена Яковлевна";"Санкт-Петербург, город Петродворец, Правленская улица, дом 12, литер А";"427-77-68, 427-95-10, 420-00-73";"Время работы с 10.30 до 18.00. Работает без выходных.";"7819012731";"1027808916442";"";"";"";"Филиал";"";"";"198516, Санкт-Петербург, город Петергоф, Разводная улица, дом 2, литер А";"";"Государственный музей-заповедник ""Петергоф""";"";"";"город Петродворец";
"Петродворцовый";"Музей";"Дворец Петра I в Стрельне";"Дворец Петра I в Стрельне.";"Кальницкая Елена Яковлевна";"Санкт-Петербург, поселок Стрельна, Больничная горка, дом 2, литер А";"421-41-31, 421-39-20";"";"7819012731";"1027808916442";"";"";"http://www.peterhof.ru/?m=16&p=29";"Филиал";"";"421-41-31";"198516, Санкт-Петербург, город Петергоф, Разводная улица, дом 2, литер А";"";"Государственный музей-заповедник ""Петергоф""";"";"";"поселок Стрельна";
"Петродворцовый";"Музей";"Константиновский дворец";"Константиновский дворец (Дворец Конгрессов)";"Тарасов Александр Владимирович";"Санкт-Петербург, поселок Стрельна, Константиновский парк, литер А, (Константиновский дворец)";"438-53-13";"";"7826700432";"1047833022698";"";"dk@gkdk.ru";"www.konstantinpalace.ru";"";"";"438-58-84";"";"";"";"";"";"";
"Петроградский";"Музей";"Домик Петра I";"Домик Петра I, филиал Русского музея";"Гусев Владимир Александрович";"197110, г.Санкт-Петербург, Петровская набережная, дом 6, литер А";"232-45-76";"10:00-17:00. Выходной день: вторник, последний понедельник каждого месяца";"7830002230";"1037843029883";"";"M161@mail.museum.ru, info@rusm";"http://www.museum.ru/M161";"Филиал";"";"";"Санкт-Петербург, Инженерная ул, д. 4";"";"Государственный Русский музей";"Горьковская";"";"муниципальный округ Посадский";
"Калининский";"Музей";"Музей ""Кресты""";"Музей ""Кресты""";"Чергин А.В.";"г.Санкт-Петербург, Арсенальная набережная, дом 7";"542-69-25, 542-68-61";"";"7804043670";"1037808003859";"";"";"www.kresty.ru/museum.html";"Филиал";"";"294-59-49";"7804043670";"";"Следственный изолятор № 1 ГУФСИН России по Санкт - Петербургу и Ленинградской области";"Площадь Ленина, Чернышевская";"";"муниципальный округ №20";
"Невский";"Музей";"Музей ""Невская застава";"Санкт-Петербургского государственное учреждение Музей ""Невская застава""";"Хозова Галина Евгеньевна";"193174, г.Санкт-Петербург, Ново-Александровская улица, дом 23, литер А";"262-18-10";"";"7811332169";"1057813048149";"";"M197@mail.museum.ru";"http://museum.ru/M197";"";"";"";"193174, г.Санкт-Петербург, Ново-Александровская улица, дом 23";"";"Комитет по управлению городским имуществом";"Пролетарская";"";"муниципальный образование Обуховский";
"Невский";"Музей";"Музей Обуховского завода";"Музей Государственного Обуховского завода";"";"192012, г.Санкт-Петербург, проспект Обуховской Обороны, дом 120, литер А";"267-91-45";"с 09:00 до 17:00";"7806411739";"1097847152721";"";"";"";"Филиал";"";"";"Санкт-Петербург, Обуховской обороны пр-кт, д. 271, Литер А";"";"ГОЗ Обуховский завод";"";"";"муниципальный округ №52";
"Невский";"Музей";"Литературный музей Н.Рубцова";"Литературный музей Н.Рубцова в библиотеке им. Н.Рубцова.";"Огнева Лилия Михайловна";"193232, г.Санкт-Петербург, улица Шотмана, дом 7, корпус 1, литер З";"585-88-79, 586-06-94";"";"7811005690";"1027806077617";"";"";"";"Филиал";"";"";"193174, г.Санкт-Петербург, улица Бабушкина, дом 64, литер А";"";"";"Улица Дыбенко";"";"муниципальный округ №54";
"Центральный";"Музей";"Всероссийский музей А.С.Пушкина";"Федеральное государственное учреждение культуры ""Всероссийский музей А.С. Пушкина""";"Некрасов СергеЙ Михайлович";"191186, г.Санкт-Петербург, набережная реки Мойки, дом 12, литер А";"571-35-31, 315-73-79, 312-12-92";"Работает ежедневно. Выходной – вторник";"7825046513";"1027809250699";"";"vmp@mail.admiral.ru";"http://museumpushkin.ru/";"Основное, есть филиал";"";"";"191186, г.Санкт-Петербург, набережная реки Мойки, дом 12, литер А";"";"Правительство Российской Федерации";"Невский проспект";"";"муниципальное образование Дворцовый округ";
"Центральный";"Музей";"Музей  А.В. Суворова";"Санкт-Петербургское государственное учреждение культуры ""Государственный мемориальный музей А.В. Суворова""";"Кузьмин Александр Иванович";"191015, г.Санкт-Петербург, Кирочная улица, дом д.43,";"274-13-57";"";"7815016767";"1037843078063";"";"suvorovmuseum@mail.ru";"www.suvorovmuseum.spb.ru";"Основное, есть филиал";"";"274-28-50";"191015, г.Санкт-Петербург, Кирочная улица, дом 43,";"ГИС СЦ";"Комитет по культуре";"";"";"муниципальное образование Смольнинское";
"Центральный";"Музей";"Музей-квартира Н.А.Некрасова";"Мемориальный музей-квартира Н.А.Некрасова, филиал Всероссийского музея А.С.Пушкина";"Некрасов СергеЙ Михайлович";"191104, г.Санкт-Петербург, Литейный проспект, дом 36, литер А";"272-01-65, 272-04-81";"";"7825046513";"1027809250699";"";"vmp@mail.admiral.ru";"www.museum.ru/M139, www.museumpushkin.ru";"Филиал";"";"";"191186, г.Санкт-Петербург, набережная реки Мойки, дом 12, литер А";"";"Всероссийский музей А.С.Пушкина";"";"";"муниципальное образование Литейный округ";
"Кронштадтский";"Музей";"Музей-кабинет А.С.Попова";"Мемориальный музей-кабинет изобретателя радио А.С.Попова";"";"197760, Санкт-Петербург, город Кронштадт, Макаровская улица, дом 1а, литер А";"311-47-66";"";"7843310552";"1099847033318";"";"";"";"";"";"";"Санкт-Петербург, Кронштадт г, Макаровская ул, д. 3";"";"Министерство обороны Российской Федерации (ФБУ - войсковая часть 90388)";"";"";"";
"Кронштадтский";"Музей";"Мемориальный музей-квартира св. Иоанна Кронштадтского";"Мемориальный музей-квартира святого праведного Иоанна Кронштадтского";"Протоиерей Украинский Геннадий Владимирович (Беловолов)";"197760, Санкт-Петербург, город Кронштадт, Посадская улица, дом 21, литер А";"311-77-45. 236-77-45, 236-87-02";"";"7818009239";"1037858018142";"";"kvartira@leushino.ru";"www.leushino.ru/kvartira";"";"";"";"Санкт-Петербург, Кронштадт г, Посадская ул, д. 21, пом. 13";"";"";"";"";"город Кронштадт";
"Кронштадтский";"Музей";"Музей ""Кронштадтская Крепость""";"Музей ""Кронштадтская Крепость"", филиал Центрального военно-морского музея ВМФ";"Горохов Владимир Александрович (Лялин Андрей Яковлевич)";"Санкт-Петербург, город Кронштадт, Якорная площадь, дом 2а, литер А";"311-47-13, 311-42-80";"";"7801018179";"1037800001777";"";"M156@mail.museum.ru, museum@ma";"http://www.museum.ru/M156";"Филиал";"";"";"Санкт-Петербург, Биржевая пл, д. 4";"";"Центральный военно-морской музей ВМФ";"";"Экспозиция музея, расположенная на галереях второго этажа здания Морского Собора";"город Кронштадт";
"Центральный";"Музей";"Михайловский замок";"Михайловский замок, филиал Государственного Русского музея";"Кальницкая Елена Яковлевна (Гусев Владимир Александрович)";"191011, г.Санкт-Петербург, Садовая улица, дом 2, литер А";"313-41-12, 313-41-73, 313-42-01, 595-42-48";"С 10.00 до 18.00, в понедельник с 10.00 до 17.00";"7830002230";"1037843029883";"";"info@rusmuseum.ru";"http://www.rusmuseum.ru/ru";"Филиал";"";"313-42-01";"Санкт-Петербург, Инженерная ул, д. 4";"";"Государственный Русский музей";"Невский Проспект, Гостиный двор";"";"муниципальное образование Дворцовый округ";
"Петроградский";"Музей";"Мемориальный музей А.С.Попова";"Мемориальный музей А.С.Попова Санкт-Петербургского электротехнического университета";"Золотинкина Лариса Игоревна";"197022, г.Санкт-Петербург, улица Профессора Попова, дом 5, литер Б";"234-59-00";"";"7813045402";"1027806875381";"";"SOShaposhnikov@eltech.ru";"http://www.museum.ru/M230";"Филиал";"";"234-59-00";"197022, г.Санкт-Петербург, улица Профессора Попова, дом 5";"";"Санкт-Петербургский государственный электротехнический университет";"Петроградская";"";"муниципальный округ №61";
"Центральный";"Музей";"Шереметевский дворец — Музей музыки";"Шереметевский дворец — Музей музыки";"Великанова Ольга Алексеевна (Метелица Наталья Ивановна)";"191104, г.Санкт-Петербург, набережная реки Фонтанки, дом 34, литер А";"272-21-23, 272-38-98, 272-44-41";"12.00-19.00, кроме Понедельника, Вторника и  последней Среды месяца.";"7825446889";"1047839007589";"";"fontannyydom34@mail.ru";"www.theatremuseum.ru";"Филиал";"";"272-38-98";"г.Санкт-Петербург, улица Зодчего Росси, дом 2, литер А";"";"Санкт-Петербургский государственный музей театрального и музыкального искусства";"Гостинный двор";"";"муниципальное образование Литейный округ";
"Центральный";"Музей";"Музей военного костюма";"Учреждение культуры ""Музей военного костюма""";"Небелевич Богдан Викторович";"г.Санкт-Петербург, 3-я Советская улица, дом 8, литер Б(во дворе)";"717-08-05";"14.00 – 18.00. Выходной – понедельник.";"7805174845";"1037811033864";"";"museumvk.spb@mail.ru";"";"";"";"717-08-05";"Санкт-Петербург, Стачек пр-кт, д. 158";"";"Частный музей";"";"";"муниципальное образование Смольнинское";
"Петроградский";"Музей";"Музей-квартира Ф.И.Шаляпина";"Музей-квартира Ф.И.Шаляпина. Санкт-Петербургский государственный музей театрального и музыкального искусства";"Гетьман Зинаида Давыдовна (Метелица Наталья Ивановна)";"197022, г.Санкт-Петербург, улица Графтио, дом 2 б, литер А";"234-10-56";"";"7825446889";"1047839007589";"";"M162@mail.museum.ru, info@thea";"http://www.museum.ru/M162";"Филиал";"";"234-10-56";"г.Санкт-Петербург, улица Зодчего Росси, дом 2, литер А";"";"Санкт-Петербургский государственный музей театрального и музыкального искусства";"Черная речка, Петроградская";"";"муниципальный округ №61";
"Выборгский";"Музей";"Музей Государственной автомобильной инспекции";"Музей Государственной автомобильной инспекции";"";"194156, г.Санкт-Петербург, проспект Пархоменко, дом 14, литер А, 3 этаж";"301-92-45";"Понедельник - пятница с 11:00 до 18:00. Выходные - суббота, воскресенье.";"";"";"";"gai@museum.sp.ru";"";"Филиал";"";"301-92-73";"";"";"ГАИ";"Площадь Мужества";"";"муниципальное образование Светлановское";
"Адмиралтейский";"Музей";"Музей-квартира Блока";"Музей-квартира Блока. Санкт-Петербургское государственное учреждение культуры ""Государственный Музей истории Санкт-Петербурга"".";"Колякин Александр Николаевич";"190121, г.Санкт-Петербург, улица Декабристов, дом 57, литер А";"713-86-16, 713-86-27, 713-86-31, 713-86-33";"";"7813080598";"1037828028677";"";"";"http://www.spbmuseum.ru/blokmuseum/";"Филиал";"";"";"197046, г.Санкт-Петербург, Петропавловская крепость, дом 3";"";"Государственный Музей истории Санкт-Петербурга";"Сенная Площадь";"";"муниципальное образование Коломна";
"Кировский";"Музей";"Музей СПб государственного университета водных коммуникаций";"Музей СПб государственного университета водных коммуникаций";"";"г.Санкт-Петербург, Двинская улица, дом 5/7, литер А";"334-38-75, 259-58-66";"";"7805029012";"1037811048989";"";"sudomeh@mail.ru";"";"Филиал";"";"";"г.Санкт-Петербург, Двинская улица, дом 5/7, литер А";"";"Санкт-Петербургский государственный университет водных коммуникаций";"Нарвская";"";"муниципальный округ №31";
"Адмиралтейский";"Музей";"Музей детского творчества";"Общественное объединение ""Музей детского творчества""";"";"190000, г.Санкт-Петербург, Можайская улица, дом 22, литер А, кв. 22";"259-6230";"Ежедневно с 10.00 до 18.00, кроме понедельника Внимание: только по предварительной договоренности";"";"";"";"ofrmdt@yandex.ru";"";"";"";"";"";"";"";"Технологический ин-т";"";"муниципальный округ Семеновский";
"Центральный";"Музей";"Строгановский Дворец";"Строгановский Дворец. Отдел Государственного Русского музея";"Гусев Владимир Александрович";"г.Санкт-Петербург, Невский проспект, дом 17, литер А";"312-90-54, 595-42-48, 314-83-68, 314-34-48";"";"7830002230";"1037843029883";"";"";"http://www.rusmuseum.ru";"Филиал";"";"";"Санкт-Петербург, Инженерная ул, д. 4";"";"Государственный Русский музей";"Невский Проспект, ""Гостиный двор""";"";"муниципальный округ №78";
"Центральный";"Музей";"Музей гигиены";"Музей гигиены Центра медицинской профилактики";"Владимирова Галина Алексеевна";"191011, г.Санкт-Петербург, Малая Садовая улица, дом 1/25, литер А, (Итальянская ул, д. 25)";"311-70-33, 311-42-27, 210-85-08";"";"7825342706";"1037843066975";"";"g_c_med_prof@zdrav.spb.ru";"http://www.museum.ru/M233";"Филиал";"";"";"Санкт-Петербург, Итальянская ул, д. 25";"";"Городской центр медицинской профилактики";"";"";"муниципальное образование Дворцовый округ";
"Калининский";"Музей";"Музей истории подводных сил России имени А. И. Маринеско";"Санкт-Петербургское государственное учреждение культуры ""Музей истории подводных сил России имени А. И. Маринеско""";"Пахомов Иван Иванович";"195271, г.Санкт-Петербург, Кондратьевский проспект, дом 83, корпус 1, литер А";"543-61-91";"";"7804068467";"1027802521339";"";"M1999@mail.museum.ru";"www.museum.ru/M1999";"";"";"543-61-94";"Санкт-Петербург, Кондратьевский пр-кт, д. 83, корп. 1";"";"";"Площадь Ленина";"";"муниципальный округ №20";
"Василеостровский";"Музей";"Музей М.В.Ломоносова";"Музей М.В.Ломоносова, филиал Музея антропологии и этнографии";"Карпеев Энгель Петрович";"199034, г.Санкт-Петербург, Университетская набережная, дом 3, литер Б";"328-14-12";"С 11:00 до 18:00. Выходной день – понедельник. Санитарный день – последний вторник каждого месяца.";"7801023852";"1037800013206";"";"info@kunstkamera.lanck.ru";"www.museum.ru/M221";"Филиал";"";"";"199034, г.Санкт-Петербург, Университетская набережная, дом 3";"";"Музей антропологии и этнографии РАН им.Петра Великого (Кунсткамера)";"Василеостровская, Невский проспект, Адмиралтейская-еще закрыта";"";"муниципальный округ №7";
"Василеостровский";"Музей";"Центральный музей почвоведения им. В.В. Докучаева";"Государственное научное учреждение Центральный музей почвоведения имени В.В. Докучаева Российской академии сельскохозяйственных наук";"Апарин Борис Федорович";"199034, г.Санкт-Петербург, Университетская набережная, дом 1-3, литер Д (или Биржевой пер., д.6)";"328-54-02, 328-56-02";"Понедельник - пятница: с 11.00 до 17.00 час. Вторник: вход свободный остальные дни - экскурсионное обслуживание.";"7801009150";"1037800034403";"";"soilmuseum@bk.ru";"http://www.музей-почвоведения.рф/";"";"";"328-56-02";"Санкт-Петербург, Биржевой проезд, д. 6";"";"Почвенный институт им. В.В. Докучаева Российской академии сельскозозяйственных наук";"Василеостровская, Невский проспект, Адмиралтейская(строится)";"";"муниципальный округ №7";
"Петроградский";"Музей";"Музей ""Крейсер Аврора""";"Музей ""Крейсер Аврора"". Филиал Центрального военно-морского музея";"Чернавин Лев Давыдович";"197046, г.Санкт-Петербург, Петроградская набережная, дом 2-4";"230-84-40";"10:30 — 16:00 (кроме понедельника и пятницы)";"7801018179";"1037800001777";"";"union@asgard-design.com";"www.aurora.org.ru";"Филиал";"";"";"г.Санкт-Петербург, Биржевая площадь, дом 4";"";"Центральный Военно-Морской музей";"Горьковская, Площадь Ленина";"";"";
"Петроградский";"Музей";"Особняк Кшесинской";"Государственный музей политической истории России. Особняк Кшесинской.";"Артемов Евгений Григорьевич";"197046, г.Санкт-Петербург, улица Куйбышева, дом 2-4, литер А";"233-70-48, 233-70-52";"с 10:00 до 18:00 Выходной день - четверг.";"7813045498";"1037828006897";"";"polithist@cards.lanck.net";"http://www.polithistory.ru/, www.museum.ru/museum/polit_his";"Филиал";"";"233-73-00";"197046, г.Санкт-Петербург, улица Куйбышева, дом 2-4";"";"Государственный музей политической истории России";"Горьковская";"";"";
"Петродворцовый";"Музей";"Музей, Царицын и Ольгин павильоны";"Музей Царицын и Ольгин павильоны. Павильоны на островах Колонистского парка";"Кальницкая Елена Яковлевна";"Санкт-Петербург, город Петергоф, Царицын остров, литер А, (Царицын павильон)";"450-52-87";"Открыт: 10.30 - 18.00. Закрыт на зимний период";"7819012731";"1027808916442";"";"";"http://peterhofmuseum.ru/";"Филиал";"";"";"198516, Россия, Санкт-Петербург, г. Петергоф, ул. Разводная, дом 2";"";"Государственный музей заповедник ""Петергоф""";"Ж/д станция ""Новый Петергоф""";"";"";
"Петродворцовый";"Музей";"Музей ""Марли""";"Музей ""Марли"". Государственный музей-заповедник ""Петергоф""";"Кальницкая Елена Яковлевна";"Санкт-Петербург, город Петергоф, Нижний парк, литер Е, (Дворец 'Марли')";"450-52-87, 420-00-73, 450-58-06";"Открыт: 10:30 - 18:00. Закрыт на зимний период";"7819012731";"1027808916442";"";"samson@peterhofmuseum.ru";"http://peterhofmuseum.ru/";"Филиал";"";"";"198516, Санкт-Петербург, город Петергоф, Разводная улица, дом 2, литер А";"";"Государственный музей заповедник ""Петергоф""";"Ж/д станция ""Новый Петергоф""";"";"";
"Петродворцовый";"Музей";"Фермерский дворец";"Фермерский дворец. Государственный музей заповедник ""Петергоф""";"Кальницкая Елена Яковлевна";"Санкт-Петербург, город Петергоф, парк Александрия, дом 19, литер А";"450-52-87";"Открыт: 10:30 - 18:00 летом, 10:30 - 17:00 зимой";"7819012731";"1027808916442";"";"";"http://peterhofmuseum.ru/";"Филиал";"";"";"198516, Санкт-Петербург, город Петергоф, Разводная улица, дом 2, литер А";"";"Государственный музей-заповедник ""Петергоф""";"Ж/д станция ""Новый Петергоф""";"";"город Петродворец";
"Центральный";"Музей";"Петербургский ""Музей кино""";"Петербургский ""Музей кино""";"Яковлев Игорь Игоревич";"191023, г.Санкт-Петербург, набережная реки Фонтанки, дом 15, литер А (ул. Караванная, 12)";"300-11-38, 300-11-38";"Ежедневно (кроме выходных) с 11.00 до 18.00. Посещение кинозала с 17.00 до 23.00";"7841395783";"1089847379995";"";"info@peterburg-kino.sp.ru";"http://www.museum.ru/M3060";"Филиал";"";"";"г.Санкт-Петербург, ул. Гончарная, 11 - адрес дирекции";"";"СПБ ГУК ""Петербург-кино""";"Невский проспект, ""Гостиный двор""";"";"муниципальное образование Дворцовый округ";
"Василеостровский";"Музей";"Музей Российской Академии художеств";"Государственное научное учреждение ""Научно-исследовательский музей Российской академии художеств""";"Хватов Юрий Николаевич";"199034, г.Санкт-Петербург, Университетская набережная, дом 17, литер Ц";"323-35-78, 323-64-96";"Часы работы: с 11 до 18 часов. Выходные - понедельник, вторник";"7801047324";"1037800002547";"28075";"nimrah@peterlink.ru";"http://www.nimrah.ru/, http://museum.ru/m166";"Основное, есть филиал";"";"";"199034, г.Санкт-Петербург, Университетская набережная, дом 17, литер Ц";"";"Российская Академия художеств";"Василеостровская";"";"муниципальный округ №7";
"Московский";"Музей";"Монумент Защитникам Ленинграда";"Монумент Защитникам Ленинграда. Санкт-Петербургское государственное учреждение культуры ""Государственный Музей истории Санкт-Петербурга"".";"Колякин Александр Николаевич";"196143, г.Санкт-Петербург, площадь Победы, литер А, (сооружение 1)";"";"";"7813080598";"1037828028677";"";"";"";"Филиал";"";"";"197046, г.Санкт-Петербург, Петропавловская крепость, дом 3";"";"Государственный Музей истории Санкт-Петербурга";"Московская";"";"";
"Центральный";"Музей";"Летний сад";"Летний сад, филиал Государственного Русского музея";"Гусев Владимир Александрович";"191041, г.Санкт-Петербург, Летний сад";"595-42-48, 314-83-68";"С 10.00 до 18.00, в понедельник с 10.00 до 17.00";"7830002230";"1037843029883";"";"";"http://www.rusmuseum.ru/ru";"Филиал";"";"";"Санкт-Петербург, Инженерная ул, д. 4";"";"Государственный Русский музей";"Невский Проспект, ""Гостиный двор""";"";"";
"Центральный";"Музей";"Музей ""Мир Воды Санкт-Петербурга""";"Музей ""Мир Воды Санкт-Петербурга""";"";"193015, г.Санкт-Петербург, Шпалерная улица, дом 56, литер Е";"438-43-01, 275-43-25";"Открыт: 10.00 – 20.00.  Выходные: ПН, ВТ";"7830000426";"1027809256254";"";"";"http://s-pb.in/muzei/muzey-mir-vodi-sankt-peterburga";"Филиал";"";"";"Санкт-Петербург, Кавалергардская ул, д. 42";"";"ГУП ""Водоканал Санкт-Петербурга""";"Чернышевская";"";"";
"Пушкинский";"Музей-заповедник";"Государственный музей-заповедник""Павловск""";"Санкт-Петербургское государственное учреждение культуры ""Государственный музей-заповедник""Павловск""";"Третьяков Николай Сергеевич";"196621, Санкт-Петербург, город Павловск, Садовая улица, дом 20,";"452-21-55, 452-15-36";"";"7822002853";"1027809016234";"";"palace@pavlovskmuseum.ru";"http://www.pavlovskmuseum.ru/";"Основное, есть филиал";"";"465-11-04";"196621, Санкт-Петербург, город Павловск, Садовая улица, дом 20,";"ГИС СЦ";"Комитет по культуре";"Ж/д станция ""Павловск""";"";"";
"Пушкинский";"Музей-заповедник";"Государственный Музей-заповедник ""Царское Село""";"Федеральное государственное учреждение культуры ""Государственный художественно-архитектурный дворцово-парковый музей-заповедник ""Царское Село""";"Таратынова Ольга Владиславовна";"196600, Санкт-Петербург, город Пушкин, Садовая улица, дом 7";"466-66-69, 465-20-24, 465-22-81";"";"7820012503";"1027809014958";"";"info@tzar.ru, sautov@tzar.ru, museum@tzar.ru";"http://www.tzar.ru/";"Основное, есть филиал";"";"465-2196";"196600, Санкт-Петербург, город Пушкин, Садовая улица, дом 7";"";"Федеральное агенство по культуре и кинематографии";"";"";"город Пушкин";
"Петродворцовый";"Музей-заповедник";"Государственный музей-заповедник""Ораниенбаум""";"Санкт- Петербургское государственное учреждение культуры Государственный музей-заповедник""Ораниенбаум""";"Воротников Виктор Андреевич";"188512, Санкт-Петербург, город Ломоносов, Верхний пейзажный и Нижний регулярный парк";"422-3753, 423-1637, 450-52-87";"9:00-19:00 зимой, 9.00-20.00 летом";"7823000030";"1037841003133";"";"";"http://www.oranienbaum.org/, www.museum.ru/M120";"Основное, есть филиал";"";"";"Санкт-Петербург, Ломоносов г, Дворцовый пр-кт, д. 48";"";"Комитет по культуре Санкт-Петербурга";"ж/д станция ""Ораниенбаум-1""";"Государственный музей-заповедник Ораниенбаум включен в список памятников культуры ЮНЕСКО.";"";
"Центральный";"Музей";"Музей печати";"Музей печати.Филиал  Санкт-Петербургского государственного учреждения культуры ""Государственный Музей истории Санкт-Петербурга"".";"Колякин Александр Николаевич";"191186, г.Санкт-Петербург, набережная реки Мойки, дом 32, литер А";"312-09-77, 312-78-32, 571-02-70";"";"7813080598";"1037828028677";"";"";"";"Филиал";"";"";"197046, г.Санкт-Петербург, Петропавловская крепость, дом 3";"";"Государственный Музей истории Санкт-Петербурга";"Невский проспект";"";"муниципальное образование Дворцовый округ";
"Центральный";"Музей";"Музей Анны Ахматовой в Фонтанном доме";"Санкт-Петербургское государственное учреждение культуры ""Государственный литературно-мемориальный музей Анны Ахматовой в Фонтанном доме""";"Попова Н.И.";"191014, г.Санкт-Петербург, набережная реки Фонтанки, дом 34, литера А";"272-18-11";"";"7825704794";"1027809210274";"";"museum@anna-museum.spb.su";"www.akhmatova.spb.ru";"Основное, есть филиал";"";"272-20-34";"191014, г.Санкт-Петербург, набережная реки Фонтанки, дом 34, литера А,Ж,К,";"ГИС СЦ";"Комитет по культуре";"";"";"муниципальное образование Литейный округ";
"Адмиралтейский";"Музей";"Мемориальный музей ""Разночинный Петербург""";"Санкт-Петербургское государственное учреждение культуры ""Мемориальный музей ""Разночинный Петербург""";"Федоренко Тамара Григорьевна";"191180, г.Санкт-Петербург, Большой Казачий переулок, дом 7, корпус -, литера А, строение -, помещение №5-Н";"572-19-32";"";"7826106980";"";"";"mirdd1880@rambler.ru";"www.museum.ru/M175";"";"";"572-19-32";"191180, г.Санкт-Петербург, Большой Казачий переулок, дом 7, корпус -, литера А, строение -, помещение №5-Н";"ГИС СЦ";"Комитет по культуре";"";"";"муниципальный округ Семеновский";
"Центральный";"Музей";"Офис музея Некрополь ""Мастеров искусств""";"Санкт-Петербургское государственное учреждение ""Государственный музей городской скульптуры""";"Тимофеев Владимир Никлаевич";"191167, г.Санкт-Петербург, площадь Александра Невского, дом 1";"2742635";"";"7825440534";"1037843042632";"";"monument@gmgs.spb.ru";"http://www.gmgs.ru, www.museum.ru/M111";"Филиал";"";"2742635";"191167, г.Санкт-Петербург, Невский проспект, дом 179/2, литера А,";"ГИС СЦ";"Комитет по культуре";"Площадь Александра Невского";"";"муниципальное образование Лиговка-Ямская";
"Курортный";"Музей";"Музейный комплекс в Разливе";"Санкт-Петербургское Государственное Учреждение Культуры ""Историко-культурный музейный комплекс в Разливе"".";"Коваленко Наталья Степановна";"Санкт-Петербург, город Сестрорецк, дорога к Шалашу Ленина, дом 3, литер А";"434-61-45, 437-30-98";"";"7843301928";"1057811776417";"";"Shalash1928@rambler.ru";"http://www.razlivmuseum.spb.ru/";"Филиал";"";"";"Санкт-Петербург, город Сестрорецк, улица Емельянова, дом 3, литер Ж";"";"";"";"";"город Сестрорецк";
"Центральный";"Музей";"Благовещенская усыпальница";"Санкт-Петербургское государственное учреждение ""Государственный музей городской скульптуры"", Благовещенская усыпальница";"Тимофеев Владимир Никлаевич";"191167, г.Санкт-Петербург, набережная реки Монастырки, дом 1";"2742635";"";"7825440534";"1037843042632";"";"monument@gmgs.spb.ru";"http://www.gmgs.ru";"Филиал";"";"2742635";"191167, г.Санкт-Петербург, Невский проспект, дом 179/2, литера А,";"ГИС СЦ";"Комитет по культуре";"Площадь Александра Невского";"";"муниципальное образование Лиговка-Ямская";
